Date,risk_prob,Year,Month
2033-08-22,0.021438229829072952,2033,8
2033-08-23,0.021438229829072952,2033,8
2033-08-24,0.021438229829072952,2033,8
2033-08-25,0.021438229829072952,2033,8
2033-08-26,0.021438229829072952,2033,8
2033-08-27,0.021438229829072952,2033,8
2033-08-28,0.021438229829072952,2033,8
2033-08-29,0.021438229829072952,2033,8
2033-08-30,0.021438229829072952,2033,8
2033-08-31,0.021438229829072952,2033,8
2033-09-01,0.021438229829072952,2033,9
2033-09-02,0.021438229829072952,2033,9
2033-09-03,0.021438229829072952,2033,9
2033-09-04,0.021438229829072952,2033,9
2033-09-05,0.021438229829072952,2033,9
2033-09-06,0.021438229829072952,2033,9
2033-09-07,0.021438229829072952,2033,9
2033-09-08,0.021438229829072952,2033,9
2033-09-09,0.021438229829072952,2033,9
2033-09-10,0.021438229829072952,2033,9
2033-09-11,0.021438229829072952,2033,9
2033-09-12,0.021438229829072952,2033,9
2033-09-13,0.021438229829072952,2033,9
2033-09-14,0.021438229829072952,2033,9
2033-09-15,0.021438229829072952,2033,9
2033-09-16,0.021438229829072952,2033,9
2033-09-17,0.021438229829072952,2033,9
2033-09-18,0.021438229829072952,2033,9
2033-09-19,0.021438229829072952,2033,9
2033-09-20,0.021438229829072952,2033,9
2033-09-21,0.021438229829072952,2033,9
2033-09-22,0.021438229829072952,2033,9
2033-09-23,0.021438229829072952,2033,9
2033-09-24,0.021438229829072952,2033,9
2033-09-25,0.021438229829072952,2033,9
2033-09-26,0.021438229829072952,2033,9
2033-09-27,0.021438229829072952,2033,9
2033-09-28,0.021438229829072952,2033,9
2033-09-29,0.021438229829072952,2033,9
2033-09-30,0.021438229829072952,2033,9
2033-10-01,0.021438229829072952,2033,10
2033-10-02,0.021438229829072952,2033,10
2033-10-03,0.021438229829072952,2033,10
2033-10-04,0.021438229829072952,2033,10
2033-10-05,0.021438229829072952,2033,10
2033-10-06,0.021438229829072952,2033,10
2033-10-07,0.021438229829072952,2033,10
2033-10-08,0.021438229829072952,2033,10
2033-10-09,0.021438229829072952,2033,10
2033-10-10,0.021438229829072952,2033,10
2033-10-11,0.021438229829072952,2033,10
2033-10-12,0.021438229829072952,2033,10
2033-10-13,0.021438229829072952,2033,10
2033-10-14,0.021438229829072952,2033,10
2033-10-15,0.021438229829072952,2033,10
2033-10-16,0.021438229829072952,2033,10
2033-10-17,0.021438229829072952,2033,10
2033-10-18,0.021438229829072952,2033,10
2033-10-19,0.021438229829072952,2033,10
2033-10-20,0.021438229829072952,2033,10
2033-10-21,0.021438229829072952,2033,10
2033-10-22,0.021438229829072952,2033,10
2033-10-23,0.021438229829072952,2033,10
2033-10-24,0.021438229829072952,2033,10
2033-10-25,0.021438229829072952,2033,10
2033-10-26,0.021438229829072952,2033,10
2033-10-27,0.021438229829072952,2033,10
2033-10-28,0.021438229829072952,2033,10
2033-10-29,0.021438229829072952,2033,10
2033-10-30,0.021438229829072952,2033,10
2033-10-31,0.021438229829072952,2033,10
2033-11-01,0.021438229829072952,2033,11
2033-11-02,0.021438229829072952,2033,11
2033-11-03,0.021438229829072952,2033,11
2033-11-04,0.021438229829072952,2033,11
2033-11-05,0.021438229829072952,2033,11
2033-11-06,0.021438229829072952,2033,11
2033-11-07,0.021438229829072952,2033,11
2033-11-08,0.021438229829072952,2033,11
2033-11-09,0.021438229829072952,2033,11
2033-11-10,0.021438229829072952,2033,11
2033-11-11,0.021438229829072952,2033,11
2033-11-12,0.021438229829072952,2033,11
2033-11-13,0.021438229829072952,2033,11
2033-11-14,0.021438229829072952,2033,11
2033-11-15,0.021438229829072952,2033,11
2033-11-16,0.021438229829072952,2033,11
2033-11-17,0.021438229829072952,2033,11
2033-11-18,0.021438229829072952,2033,11
2033-11-19,0.021438229829072952,2033,11
2033-11-20,0.021438229829072952,2033,11
2033-11-21,0.021438229829072952,2033,11
2033-11-22,0.021438229829072952,2033,11
2033-11-23,0.021438229829072952,2033,11
2033-11-24,0.021438229829072952,2033,11
2033-11-25,0.021438229829072952,2033,11
2033-11-26,0.021438229829072952,2033,11
2033-11-27,0.021438229829072952,2033,11
2033-11-28,0.021438229829072952,2033,11
2033-11-29,0.021438229829072952,2033,11
2033-11-30,0.021438229829072952,2033,11
2033-12-01,0.021438229829072952,2033,12
2033-12-02,0.021438229829072952,2033,12
2033-12-03,0.021438229829072952,2033,12
2033-12-04,0.021438229829072952,2033,12
2033-12-05,0.021438229829072952,2033,12
2033-12-06,0.021438229829072952,2033,12
2033-12-07,0.021438229829072952,2033,12
2033-12-08,0.021438229829072952,2033,12
2033-12-09,0.021438229829072952,2033,12
2033-12-10,0.021438229829072952,2033,12
2033-12-11,0.021438229829072952,2033,12
2033-12-12,0.021438229829072952,2033,12
2033-12-13,0.021438229829072952,2033,12
2033-12-14,0.021438229829072952,2033,12
2033-12-15,0.021438229829072952,2033,12
2033-12-16,0.021438229829072952,2033,12
2033-12-17,0.021438229829072952,2033,12
2033-12-18,0.021438229829072952,2033,12
2033-12-19,0.021438229829072952,2033,12
2033-12-20,0.021438229829072952,2033,12
2033-12-21,0.021438229829072952,2033,12
2033-12-22,0.021438229829072952,2033,12
2033-12-23,0.021438229829072952,2033,12
2033-12-24,0.021438229829072952,2033,12
2033-12-25,0.021438229829072952,2033,12
2033-12-26,0.021438229829072952,2033,12
2033-12-27,0.021438229829072952,2033,12
2033-12-28,0.021438229829072952,2033,12
2033-12-29,0.021438229829072952,2033,12
2033-12-30,0.021438229829072952,2033,12
2033-12-31,0.021438229829072952,2033,12
2034-01-01,0.021438229829072952,2034,1
2034-01-02,0.021438229829072952,2034,1
2034-01-03,0.021438229829072952,2034,1
2034-01-04,0.021438229829072952,2034,1
2034-01-05,0.021438229829072952,2034,1
2034-01-06,0.021438229829072952,2034,1
2034-01-07,0.021438229829072952,2034,1
2034-01-08,0.021438229829072952,2034,1
2034-01-09,0.021438229829072952,2034,1
2034-01-10,0.021438229829072952,2034,1
2034-01-11,0.021438229829072952,2034,1
2034-01-12,0.021438229829072952,2034,1
2034-01-13,0.021438229829072952,2034,1
2034-01-14,0.021438229829072952,2034,1
2034-01-15,0.021438229829072952,2034,1
2034-01-16,0.021438229829072952,2034,1
2034-01-17,0.021438229829072952,2034,1
2034-01-18,0.021438229829072952,2034,1
2034-01-19,0.021438229829072952,2034,1
2034-01-20,0.021438229829072952,2034,1
2034-01-21,0.021438229829072952,2034,1
2034-01-22,0.021438229829072952,2034,1
2034-01-23,0.021438229829072952,2034,1
2034-01-24,0.021438229829072952,2034,1
2034-01-25,0.021438229829072952,2034,1
2034-01-26,0.021438229829072952,2034,1
2034-01-27,0.021438229829072952,2034,1
2034-01-28,0.021438229829072952,2034,1
2034-01-29,0.021438229829072952,2034,1
2034-01-30,0.021438229829072952,2034,1
2034-01-31,0.021438229829072952,2034,1
2034-02-01,0.021438229829072952,2034,2
2034-02-02,0.021438229829072952,2034,2
2034-02-03,0.021438229829072952,2034,2
2034-02-04,0.021438229829072952,2034,2
2034-02-05,0.021438229829072952,2034,2
2034-02-06,0.021438229829072952,2034,2
2034-02-07,0.021438229829072952,2034,2
2034-02-08,0.021438229829072952,2034,2
2034-02-09,0.021438229829072952,2034,2
2034-02-10,0.021438229829072952,2034,2
2034-02-11,0.021438229829072952,2034,2
2034-02-12,0.021438229829072952,2034,2
2034-02-13,0.021438229829072952,2034,2
2034-02-14,0.021438229829072952,2034,2
2034-02-15,0.021438229829072952,2034,2
2034-02-16,0.021438229829072952,2034,2
2034-02-17,0.021438229829072952,2034,2
2034-02-18,0.021438229829072952,2034,2
2034-02-19,0.021438229829072952,2034,2
2034-02-20,0.021438229829072952,2034,2
2034-02-21,0.021438229829072952,2034,2
2034-02-22,0.021438229829072952,2034,2
2034-02-23,0.021438229829072952,2034,2
2034-02-24,0.021438229829072952,2034,2
2034-02-25,0.021438229829072952,2034,2
2034-02-26,0.021438229829072952,2034,2
2034-02-27,0.021438229829072952,2034,2
2034-02-28,0.021438229829072952,2034,2
2034-03-01,0.021438229829072952,2034,3
2034-03-02,0.021438229829072952,2034,3
2034-03-03,0.021438229829072952,2034,3
2034-03-04,0.021438229829072952,2034,3
2034-03-05,0.021438229829072952,2034,3
2034-03-06,0.021438229829072952,2034,3
2034-03-07,0.021438229829072952,2034,3
2034-03-08,0.021438229829072952,2034,3
2034-03-09,0.021438229829072952,2034,3
2034-03-10,0.021438229829072952,2034,3
2034-03-11,0.021438229829072952,2034,3
2034-03-12,0.021438229829072952,2034,3
2034-03-13,0.021438229829072952,2034,3
2034-03-14,0.021438229829072952,2034,3
2034-03-15,0.021438229829072952,2034,3
2034-03-16,0.021438229829072952,2034,3
2034-03-17,0.021438229829072952,2034,3
2034-03-18,0.021438229829072952,2034,3
2034-03-19,0.021438229829072952,2034,3
2034-03-20,0.021438229829072952,2034,3
2034-03-21,0.021438229829072952,2034,3
2034-03-22,0.021438229829072952,2034,3
2034-03-23,0.021438229829072952,2034,3
2034-03-24,0.021438229829072952,2034,3
2034-03-25,0.021438229829072952,2034,3
2034-03-26,0.021438229829072952,2034,3
2034-03-27,0.021438229829072952,2034,3
2034-03-28,0.021438229829072952,2034,3
2034-03-29,0.021438229829072952,2034,3
2034-03-30,0.021438229829072952,2034,3
2034-03-31,0.021438229829072952,2034,3
2034-04-01,0.021438229829072952,2034,4
2034-04-02,0.021438229829072952,2034,4
2034-04-03,0.021438229829072952,2034,4
2034-04-04,0.021438229829072952,2034,4
2034-04-05,0.021438229829072952,2034,4
2034-04-06,0.021438229829072952,2034,4
2034-04-07,0.021438229829072952,2034,4
2034-04-08,0.021438229829072952,2034,4
2034-04-09,0.021438229829072952,2034,4
2034-04-10,0.021438229829072952,2034,4
2034-04-11,0.021438229829072952,2034,4
2034-04-12,0.021438229829072952,2034,4
2034-04-13,0.021438229829072952,2034,4
2034-04-14,0.021438229829072952,2034,4
2034-04-15,0.021438229829072952,2034,4
2034-04-16,0.021438229829072952,2034,4
2034-04-17,0.021438229829072952,2034,4
2034-04-18,0.021438229829072952,2034,4
2034-04-19,0.021438229829072952,2034,4
2034-04-20,0.021438229829072952,2034,4
2034-04-21,0.021438229829072952,2034,4
2034-04-22,0.021438229829072952,2034,4
2034-04-23,0.021438229829072952,2034,4
2034-04-24,0.021438229829072952,2034,4
2034-04-25,0.021438229829072952,2034,4
2034-04-26,0.021438229829072952,2034,4
2034-04-27,0.021438229829072952,2034,4
2034-04-28,0.021438229829072952,2034,4
2034-04-29,0.021438229829072952,2034,4
2034-04-30,0.021438229829072952,2034,4
2034-05-01,0.021438229829072952,2034,5
2034-05-02,0.021438229829072952,2034,5
2034-05-03,0.021438229829072952,2034,5
2034-05-04,0.021438229829072952,2034,5
2034-05-05,0.021438229829072952,2034,5
2034-05-06,0.021438229829072952,2034,5
2034-05-07,0.021438229829072952,2034,5
2034-05-08,0.021438229829072952,2034,5
2034-05-09,0.021438229829072952,2034,5
2034-05-10,0.021438229829072952,2034,5
2034-05-11,0.021438229829072952,2034,5
2034-05-12,0.021438229829072952,2034,5
2034-05-13,0.021438229829072952,2034,5
2034-05-14,0.021438229829072952,2034,5
2034-05-15,0.021438229829072952,2034,5
2034-05-16,0.021438229829072952,2034,5
2034-05-17,0.021438229829072952,2034,5
2034-05-18,0.021438229829072952,2034,5
2034-05-19,0.021438229829072952,2034,5
2034-05-20,0.021438229829072952,2034,5
2034-05-21,0.021438229829072952,2034,5
2034-05-22,0.021438229829072952,2034,5
2034-05-23,0.021438229829072952,2034,5
2034-05-24,0.021438229829072952,2034,5
2034-05-25,0.021438229829072952,2034,5
2034-05-26,0.021438229829072952,2034,5
2034-05-27,0.021438229829072952,2034,5
2034-05-28,0.021438229829072952,2034,5
2034-05-29,0.021438229829072952,2034,5
2034-05-30,0.021438229829072952,2034,5
2034-05-31,0.021438229829072952,2034,5
2034-06-01,0.021438229829072952,2034,6
2034-06-02,0.021438229829072952,2034,6
2034-06-03,0.021438229829072952,2034,6
2034-06-04,0.021438229829072952,2034,6
2034-06-05,0.021438229829072952,2034,6
2034-06-06,0.021438229829072952,2034,6
2034-06-07,0.021438229829072952,2034,6
2034-06-08,0.021438229829072952,2034,6
2034-06-09,0.021438229829072952,2034,6
2034-06-10,0.021438229829072952,2034,6
2034-06-11,0.021438229829072952,2034,6
2034-06-12,0.021438229829072952,2034,6
2034-06-13,0.021438229829072952,2034,6
2034-06-14,0.021438229829072952,2034,6
2034-06-15,0.021438229829072952,2034,6
2034-06-16,0.021438229829072952,2034,6
2034-06-17,0.021438229829072952,2034,6
2034-06-18,0.021438229829072952,2034,6
2034-06-19,0.021438229829072952,2034,6
2034-06-20,0.021438229829072952,2034,6
2034-06-21,0.021438229829072952,2034,6
2034-06-22,0.021438229829072952,2034,6
2034-06-23,0.021438229829072952,2034,6
2034-06-24,0.021438229829072952,2034,6
2034-06-25,0.021438229829072952,2034,6
2034-06-26,0.021438229829072952,2034,6
2034-06-27,0.021438229829072952,2034,6
2034-06-28,0.021438229829072952,2034,6
2034-06-29,0.021438229829072952,2034,6
2034-06-30,0.021438229829072952,2034,6
2034-07-01,0.021438229829072952,2034,7
2034-07-02,0.021438229829072952,2034,7
2034-07-03,0.021438229829072952,2034,7
2034-07-04,0.021438229829072952,2034,7
2034-07-05,0.021438229829072952,2034,7
2034-07-06,0.021438229829072952,2034,7
2034-07-07,0.021438229829072952,2034,7
2034-07-08,0.021438229829072952,2034,7
2034-07-09,0.021438229829072952,2034,7
2034-07-10,0.021438229829072952,2034,7
2034-07-11,0.021438229829072952,2034,7
2034-07-12,0.021438229829072952,2034,7
2034-07-13,0.021438229829072952,2034,7
2034-07-14,0.021438229829072952,2034,7
2034-07-15,0.021438229829072952,2034,7
2034-07-16,0.021438229829072952,2034,7
2034-07-17,0.021438229829072952,2034,7
2034-07-18,0.021438229829072952,2034,7
2034-07-19,0.021438229829072952,2034,7
2034-07-20,0.021438229829072952,2034,7
2034-07-21,0.021438229829072952,2034,7
2034-07-22,0.021438229829072952,2034,7
2034-07-23,0.021438229829072952,2034,7
2034-07-24,0.021438229829072952,2034,7
2034-07-25,0.021438229829072952,2034,7
2034-07-26,0.021438229829072952,2034,7
2034-07-27,0.021438229829072952,2034,7
2034-07-28,0.021438229829072952,2034,7
2034-07-29,0.021438229829072952,2034,7
2034-07-30,0.021438229829072952,2034,7
2034-07-31,0.021438229829072952,2034,7
2034-08-01,0.021438229829072952,2034,8
2034-08-02,0.021438229829072952,2034,8
2034-08-03,0.021438229829072952,2034,8
2034-08-04,0.021438229829072952,2034,8
2034-08-05,0.021438229829072952,2034,8
2034-08-06,0.021438229829072952,2034,8
2034-08-07,0.021438229829072952,2034,8
2034-08-08,0.021438229829072952,2034,8
2034-08-09,0.021438229829072952,2034,8
2034-08-10,0.021438229829072952,2034,8
2034-08-11,0.021438229829072952,2034,8
2034-08-12,0.021438229829072952,2034,8
2034-08-13,0.021438229829072952,2034,8
2034-08-14,0.021438229829072952,2034,8
2034-08-15,0.021438229829072952,2034,8
2034-08-16,0.021438229829072952,2034,8
2034-08-17,0.021438229829072952,2034,8
2034-08-18,0.021438229829072952,2034,8
2034-08-19,0.021438229829072952,2034,8
2034-08-20,0.021438229829072952,2034,8
2034-08-21,0.021438229829072952,2034,8
2034-08-22,0.021438229829072952,2034,8
2034-08-23,0.021438229829072952,2034,8
2034-08-24,0.021438229829072952,2034,8
2034-08-25,0.021438229829072952,2034,8
2034-08-26,0.021438229829072952,2034,8
2034-08-27,0.021438229829072952,2034,8
2034-08-28,0.021438229829072952,2034,8
2034-08-29,0.021438229829072952,2034,8
2034-08-30,0.021438229829072952,2034,8
2034-08-31,0.021438229829072952,2034,8
2034-09-01,0.021438229829072952,2034,9
2034-09-02,0.021438229829072952,2034,9
2034-09-03,0.021438229829072952,2034,9
2034-09-04,0.021438229829072952,2034,9
2034-09-05,0.021438229829072952,2034,9
2034-09-06,0.021438229829072952,2034,9
2034-09-07,0.021438229829072952,2034,9
2034-09-08,0.021438229829072952,2034,9
2034-09-09,0.021438229829072952,2034,9
2034-09-10,0.021438229829072952,2034,9
2034-09-11,0.021438229829072952,2034,9
2034-09-12,0.021438229829072952,2034,9
2034-09-13,0.021438229829072952,2034,9
2034-09-14,0.021438229829072952,2034,9
2034-09-15,0.021438229829072952,2034,9
2034-09-16,0.021438229829072952,2034,9
2034-09-17,0.021438229829072952,2034,9
2034-09-18,0.021438229829072952,2034,9
2034-09-19,0.021438229829072952,2034,9
2034-09-20,0.021438229829072952,2034,9
2034-09-21,0.021438229829072952,2034,9
2034-09-22,0.021438229829072952,2034,9
2034-09-23,0.021438229829072952,2034,9
2034-09-24,0.021438229829072952,2034,9
2034-09-25,0.021438229829072952,2034,9
2034-09-26,0.021438229829072952,2034,9
2034-09-27,0.021438229829072952,2034,9
2034-09-28,0.021438229829072952,2034,9
2034-09-29,0.021438229829072952,2034,9
2034-09-30,0.021438229829072952,2034,9
2034-10-01,0.021438229829072952,2034,10
2034-10-02,0.021438229829072952,2034,10
2034-10-03,0.021438229829072952,2034,10
2034-10-04,0.021438229829072952,2034,10
2034-10-05,0.021438229829072952,2034,10
2034-10-06,0.021438229829072952,2034,10
2034-10-07,0.021438229829072952,2034,10
2034-10-08,0.021438229829072952,2034,10
2034-10-09,0.021438229829072952,2034,10
2034-10-10,0.021438229829072952,2034,10
2034-10-11,0.021438229829072952,2034,10
2034-10-12,0.021438229829072952,2034,10
2034-10-13,0.021438229829072952,2034,10
2034-10-14,0.021438229829072952,2034,10
2034-10-15,0.021438229829072952,2034,10
2034-10-16,0.021438229829072952,2034,10
2034-10-17,0.021438229829072952,2034,10
2034-10-18,0.021438229829072952,2034,10
2034-10-19,0.021438229829072952,2034,10
2034-10-20,0.021438229829072952,2034,10
2034-10-21,0.021438229829072952,2034,10
2034-10-22,0.021438229829072952,2034,10
2034-10-23,0.021438229829072952,2034,10
2034-10-24,0.021438229829072952,2034,10
2034-10-25,0.021438229829072952,2034,10
2034-10-26,0.021438229829072952,2034,10
2034-10-27,0.021438229829072952,2034,10
2034-10-28,0.021438229829072952,2034,10
2034-10-29,0.021438229829072952,2034,10
2034-10-30,0.021438229829072952,2034,10
2034-10-31,0.021438229829072952,2034,10
2034-11-01,0.021438229829072952,2034,11
2034-11-02,0.021438229829072952,2034,11
2034-11-03,0.021438229829072952,2034,11
2034-11-04,0.021438229829072952,2034,11
2034-11-05,0.021438229829072952,2034,11
2034-11-06,0.021438229829072952,2034,11
2034-11-07,0.021438229829072952,2034,11
2034-11-08,0.021438229829072952,2034,11
2034-11-09,0.021438229829072952,2034,11
2034-11-10,0.021438229829072952,2034,11
2034-11-11,0.021438229829072952,2034,11
2034-11-12,0.021438229829072952,2034,11
2034-11-13,0.021438229829072952,2034,11
2034-11-14,0.021438229829072952,2034,11
2034-11-15,0.021438229829072952,2034,11
2034-11-16,0.021438229829072952,2034,11
2034-11-17,0.021438229829072952,2034,11
2034-11-18,0.021438229829072952,2034,11
2034-11-19,0.021438229829072952,2034,11
2034-11-20,0.021438229829072952,2034,11
2034-11-21,0.021438229829072952,2034,11
2034-11-22,0.021438229829072952,2034,11
2034-11-23,0.021438229829072952,2034,11
2034-11-24,0.021438229829072952,2034,11
2034-11-25,0.021438229829072952,2034,11
2034-11-26,0.021438229829072952,2034,11
2034-11-27,0.021438229829072952,2034,11
2034-11-28,0.021438229829072952,2034,11
2034-11-29,0.021438229829072952,2034,11
2034-11-30,0.021438229829072952,2034,11
2034-12-01,0.021438229829072952,2034,12
2034-12-02,0.021438229829072952,2034,12
2034-12-03,0.021438229829072952,2034,12
2034-12-04,0.021438229829072952,2034,12
2034-12-05,0.021438229829072952,2034,12
2034-12-06,0.021438229829072952,2034,12
2034-12-07,0.021438229829072952,2034,12
2034-12-08,0.021438229829072952,2034,12
2034-12-09,0.021438229829072952,2034,12
2034-12-10,0.021438229829072952,2034,12
2034-12-11,0.021438229829072952,2034,12
2034-12-12,0.021438229829072952,2034,12
2034-12-13,0.021438229829072952,2034,12
2034-12-14,0.021438229829072952,2034,12
2034-12-15,0.021438229829072952,2034,12
2034-12-16,0.021438229829072952,2034,12
2034-12-17,0.021438229829072952,2034,12
2034-12-18,0.021438229829072952,2034,12
2034-12-19,0.021438229829072952,2034,12
2034-12-20,0.021438229829072952,2034,12
2034-12-21,0.021438229829072952,2034,12
2034-12-22,0.021438229829072952,2034,12
2034-12-23,0.021438229829072952,2034,12
2034-12-24,0.021438229829072952,2034,12
2034-12-25,0.021438229829072952,2034,12
2034-12-26,0.021438229829072952,2034,12
2034-12-27,0.021438229829072952,2034,12
2034-12-28,0.021438229829072952,2034,12
2034-12-29,0.021438229829072952,2034,12
2034-12-30,0.021438229829072952,2034,12
